"","X","Name","Location","Year","Kilometers_Driven","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price","Fuel_TypeDiesel","Fuel_TypePetrol","TransmissionAutomatic","TransmissionManual","Age","Annual_Value_Loss"
"35",38,"Mercedes-Benz M-Class ML 350 CDI","Pune",2013,85000,"First",11.74,2987,254.8,5,20.9168341708543,28,1,0,1,0,11,-0.643924166285975
"36",39,"Volkswagen Polo Diesel Trendline 1.2L","Chennai",2013,62000,"First",22.07,1199,73.9,5,20.9168341708543,5,1,0,0,1,11,1.44698492462312
"37",40,"Maruti Alto LXi","Delhi",2008,90000,"Second",19.7,796,46.3,5,20.9168341708543,1.25,0,1,0,1,16,1.22917713567839
"38",41,"Tata Nano LX SE","Kochi",2014,19698,"First",25.4,624,37.5,4,20.9168341708543,1.53,0,1,0,1,10,1.93868341708543
"39",42,"Mahindra KUV 100 mFALCON D75 K8 Dual Tone","Coimbatore",2017,22033,"First",25.32,1198,77,6,20.9168341708543,5.58,1,0,0,1,7,2.19097631012204
"40",43,"Hyundai i20 Magna Optional 1.2","Kochi",2014,35487,"First",18.5,1197,82.9,5,20.9168341708543,4.74,0,1,0,1,10,1.61768341708543
"41",44,"Hyundai Elantra 2.0 SX Option AT","Bangalore",2014,46374,"First",14.62,1999,149.92,5,23.64,8.85,0,1,1,0,10,1.479
"42",45,"Toyota Corolla Altis G AT","Mumbai",2016,52001,"First",14.28,1798,138.03,5,20.9168341708543,10.11,0,1,1,0,8,1.35085427135678
"43",46,"Hyundai Elantra CRDi","Ahmedabad",2008,58005,"Second",14.9,1991,112.2,5,20.9168341708543,4.25,1,0,0,1,16,1.04167713567839
"44",47,"Toyota Innova Crysta 2.7 GX MT","Bangalore",2012,70704,"First",11.25,2694,163.7,7,18.64,10.95,0,1,0,1,12,0.640833333333333
"45",48,"Hyundai Xcent 1.1 CRDi S","Jaipur",2014,75000,"First",24.4,1120,71,5,20.9168341708543,3.85,1,0,0,1,10,1.70668341708543
"46",49,"Mahindra Thar CRDe AC","Jaipur",2012,75800,"Second",16.55,2498,105,6,20.9168341708543,5.5,1,0,0,1,12,1.28473618090452
"47",50,"Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi",2015,13648,"First",17.11,1968,174.33,5,20.9168341708543,21.43,1,0,1,0,9,-0.0570184254606363
"48",51,"Maruti Swift LDI","Delhi",2014,52000,"First",22.9,1248,74,5,20.9168341708543,4.25,1,0,0,1,10,1.66668341708543
"49",52,"Maruti Swift Ldi BSIV","Kolkata",2014,53000,"First",17.8,1248,75,5,20.9168341708543,3.3,1,0,0,1,10,1.76168341708543
"50",53,"Maruti Swift VDI","Delhi",2013,65650,"First",28.4,1248,74,5,20.9168341708543,3.85,1,0,0,1,11,1.55153037916857
"51",54,"Hyundai Grand i10 Sportz","Chennai",2015,54000,"Third",18.9,1197,82,5,20.9168341708543,3.6,0,1,0,1,9,1.92409268565047
"52",55,"Volkswagen Vento 2013-2015 1.6 Comfortline","Kolkata",2015,39000,"First",15.04,1598,103.2,5,20.9168341708543,3.99,0,1,0,1,9,1.88075935231714
"53",56,"Renault KWID RXT","Kochi",2017,16542,"First",25.17,799,53.3,5,20.9168341708543,3.3,0,1,0,1,7,2.51669059583632
"54",57,"Hyundai i10 Asta","Kolkata",2010,32000,"First",20.36,1197,78.9,5,20.9168341708543,2.07,0,1,0,1,14,1.34620244077531
"55",59,"Maruti Zen Estilo VXI BSIII","Hyderabad",2010,39300,"First",18.2,998,67.1,5,20.9168341708543,2.25,0,1,0,1,14,1.33334529791816
"56",60,"Toyota Innova Crysta 2.4 GX MT 8S","Mumbai",2017,22000,"First",13.68,2393,147.8,8,19.34,16.5,1,0,0,1,7,0.405714285714286
"57",61,"Ford Figo Diesel Titanium","Bangalore",2010,72000,"First",20,1399,68,5,20.9168341708543,2.75,1,0,0,1,14,1.29763101220388
"58",62,"Mercedes-Benz New C-Class C 200 CGI Avantgarde","Delhi",2015,58000,"First",11.74,1796,186,5,20.9168341708543,26.7,0,1,1,0,9,-0.642573981016192
"59",63,"Mercedes-Benz New C-Class 200 CDI Classic","Pune",2011,65000,"Second",15.8,2148,170,5,20.9168341708543,10,1,0,0,1,13,0.839756474681098
"60",64,"Tata Indica V2 eLS","Chennai",2016,178000,"First",25,1396,69,5,20.9168341708543,2.5,1,0,0,1,8,2.30210427135678
"61",65,"Audi A4 2.0 TDI Multitronic","Jaipur",2012,65664,"First",16.55,1968,140,5,20.9168341708543,13.5,1,0,1,0,12,0.618069514237856
"62",66,"Honda City ZX CVT","Mumbai",2007,63000,"Second",16.4,1497,78,5,20.9168341708543,1.85,0,1,1,0,17,1.12157848063849
"63",67,"Mercedes-Benz C-Class Progressive C 220d","Coimbatore",2019,15369,"First",0,1950,194,5,49.14,35.67,1,0,1,0,5,2.694
"64",68,"Maruti Ertiga SHVS VDI","Pune",2016,63000,"First",24.52,1248,88.5,7,20.9168341708543,8.15,1,0,0,1,8,1.59585427135678
"65",69,"Hyundai Creta 1.4 E Plus Diesel","Mumbai",2018,13000,"First",22.1,1396,88.7,5,11.81,10.5,1,0,0,1,6,0.218333333333333
"66",70,"Porsche Cayenne 2009-2014 Turbo","Mumbai",2008,73000,"First",8.5,4806,500,5,20.9168341708543,14.5,0,1,1,0,16,0.401052135678392
"67",71,"Mahindra XUV500 W8 4WD","Mumbai",2015,55729,"First",15.1,2179,140,7,20.9168341708543,9.65,1,0,0,1,9,1.25187046342825
"68",72,"Hyundai i10 Sportz 1.2 AT","Kochi",2012,45178,"First",16.95,1197,78.9,5,20.9168341708543,3.48,0,1,1,0,12,1.45306951423786
"69",73,"Nissan Terrano XV D Pre","Kochi",2015,56066,"First",19.64,1461,108.5,5,16.65,6.92,1,0,0,1,9,1.08111111111111
"70",74,"Honda Brio VX AT","Coimbatore",2016,37300,"Second",16.5,1198,86.8,5,20.9168341708543,6.46,0,1,1,0,8,1.80710427135678
"71",75,"Audi A6 2.0 TDI Design Edition","Delhi",2014,56000,"Second",18.53,1968,187.74,5,20.9168341708543,29.5,1,0,1,0,10,-0.858316582914573
"72",77,"Toyota Innova 2.0 G1","Chennai",2006,230000,"Third",12.4,1998,132,8,20.9168341708543,4.5,0,1,0,1,18,0.912046342825237
"73",78,"Toyota Innova 2.5 VX 7 STR BSIV","Hyderabad",2012,104000,"First",12.8,2494,102,7,20.9168341708543,11.75,1,0,0,1,12,0.763902847571189
"74",80,"Maruti Swift VDI","Jaipur",2012,95100,"First",22.9,1248,74,5,20.9168341708543,3.75,1,0,0,1,12,1.43056951423786
"75",81,"Tata Zest Revotron 1.2T XE","Pune",2017,70000,"First",17.57,1193,88.7,5,6.67,4.5,0,1,0,1,7,0.31
"76",82,"Honda Amaze SX i-VTEC","Kochi",2016,54944,"First",18,1198,86.7,5,20.9168341708543,4.82,0,1,0,1,8,2.01210427135678
"77",83,"Ford Figo Diesel ZXI","Hyderabad",2012,70337,"First",20,1399,68,5,20.9168341708543,2.8,1,0,0,1,12,1.50973618090452
"78",84,"Maruti Ritz VDi","Jaipur",2013,99638,"First",23.2,1248,73.94,5,20.9168341708543,3.11,1,0,0,1,11,1.6188031064413
"79",85,"Honda City i VTEC E","Delhi",2009,52000,"First",17.8,1497,117.3,5,20.9168341708543,3.25,0,1,0,1,15,1.17778894472362
"80",86,"BMW 5 Series 2003-2012 525d","Delhi",2011,75000,"Second",16.73,1995,218,5,20.9168341708543,13.9,1,0,1,0,13,0.539756474681098
"81",87,"Hyundai i10 Sportz 1.2","Pune",2009,95980,"First",20.36,1197,78.9,5,20.9168341708543,2.25,0,1,0,1,15,1.24445561139028
"82",88,"Hyundai Grand i10 Sportz","Bangalore",2016,16000,"First",18.9,1197,82,5,20.9168341708543,5.75,0,1,0,1,8,1.89585427135678
"83",90,"Honda Amaze SX i-VTEC","Mumbai",2016,18949,"First",17.8,1198,86.7,5,20.9168341708543,5,0,1,0,1,8,1.98960427135678
"84",91,"Toyota Fortuner 4x2 Manual","Delhi",2014,107000,"First",13,2982,168.5,7,20.9168341708543,16.5,1,0,0,1,10,0.441683417085427
"85",92,"Audi A6 2011-2015 35 TDI Premium","Coimbatore",2018,48367,"First",17.68,1968,174.33,5,20.9168341708543,39.58,1,0,1,0,6,-3.11052763819095
"86",93,"Ford Ecosport 1.5 DV5 MT Titanium Optional","Delhi",2013,57000,"First",22.7,1498,89.84,5,20.9168341708543,5.5,1,0,0,1,11,1.40153037916857
"87",94,"Mahindra XUV500 W8 2WD","Delhi",2014,58000,"First",15.1,2179,140,7,20.9168341708543,8.1,1,0,0,1,10,1.28168341708543
"88",95,"Honda Amaze SX i-DTEC","Kolkata",2015,30000,"First",25.8,1498,98.6,5,20.9168341708543,3.5,1,0,0,1,9,1.93520379676159
"89",96,"Volkswagen Polo Diesel Highline 1.2L","Kolkata",2013,34212,"First",22.07,1199,73.9,5,20.9168341708543,2.79,1,0,0,1,11,1.64789401553221
"90",97,"Hyundai Verna Transform SX VGT CRDi","Ahmedabad",2010,70002,"First",16.2,1493,110,5,20.9168341708543,3.45,1,0,0,1,14,1.24763101220388
"91",98,"Maruti Wagon R VXI BS IV","Bangalore",2016,62000,"First",18.9,998,67.1,5,20.9168341708543,4.45,0,1,0,1,8,2.05835427135678
"92",99,"Volkswagen Polo Petrol Highline 1.6L","Delhi",2010,62001,"First",15.26,1598,103.5,5,20.9168341708543,2.65,0,1,0,1,14,1.30477386934673
"93",100,"Hyundai i20 1.4 CRDi Sportz","Pune",2011,78958,"Second",23,1396,90,5,20.9168341708543,3.8,1,0,0,1,13,1.31667955160417
"94",101,"Hyundai i20 Asta 1.2","Mumbai",2014,30180,"First",18.5,1197,82.85,5,20.9168341708543,4.65,0,1,0,1,10,1.62668341708543
"95",102,"Datsun GO Plus T Petrol","Pune",2017,32851,"First",19.83,1198,67,7,6.45,3.95,0,1,0,1,7,0.357142857142857
"96",103,"Audi A4 3.0 TDI Quattro Premium","Kolkata",2010,30000,"First",14.94,2967,241.4,5,20.9168341708543,9.8,1,0,1,0,14,0.794059583632448
"97",104,"Hyundai i20 2015-2017 Asta","Pune",2009,66000,"Second",17,1197,80,5,20.9168341708543,2.7,0,1,0,1,15,1.21445561139028
"98",105,"Maruti Omni 5 Str STD","Coimbatore",2010,93850,"First",14,796,35,5,20.9168341708543,2.41,0,1,0,1,14,1.32191672648959
"99",106,"Toyota Etios Liva 1.2 G","Ahmedabad",2014,53000,"First",17.71,1197,78.9,5,6.41,3.9,0,1,0,1,10,0.251
"100",107,"Jaguar XF 3.0 Litre S Premium Luxury","Hyderabad",2011,78000,"Second",14.74,2993,270.9,5,20.9168341708543,24,1,0,1,0,13,-0.237166602241979
"101",108,"Mahindra XUV500 W8 2WD","Delhi",2012,65000,"Second",16,2179,140,7,20.9168341708543,5.75,1,0,0,1,12,1.26390284757119
"102",109,"Hyundai Verna 1.6 SX CRDI (O) AT","Kolkata",2014,40000,"First",22.32,1582,126.32,5,20.9168341708543,5.25,1,0,1,0,10,1.56668341708543
"103",110,"Toyota Innova Crysta 2.8 ZX AT","Mumbai",2017,30000,"First",11.36,2755,171.5,7,27,19.25,1,0,1,0,7,1.10714285714286
"104",111,"Maruti Eeco 5 Seater AC","Coimbatore",2017,38053,"First",15.1,1196,73,5,5.13,3.91,0,1,0,1,7,0.174285714285714
"105",112,"Tata Nano Twist XT","Bangalore",2014,25500,"First",25.4,624,37.5,4,20.9168341708543,2.15,0,1,0,1,10,1.87668341708543
"106",113,"BMW 3 Series 320d Luxury Line","Mumbai",2015,56087,"First",22.69,1995,190,5,54.43,20.75,1,0,1,0,9,3.74222222222222
"107",114,"Honda Civic 2006-2010 1.8 V MT","Delhi",2010,71088,"First",13.5,1799,130,5,20.9168341708543,3.35,0,1,0,1,14,1.25477386934673
"108",115,"Toyota Innova 2.5 VX (Diesel) 7 Seater","Ahmedabad",2014,55000,"First",12.99,2494,100.6,7,20.9168341708543,11.11,1,0,0,1,10,0.980683417085427
"109",116,"Volvo V40 Cross Country D3","Bangalore",2014,32700,"First",23.3,1984,150,5,20.9168341708543,20,1,0,1,0,10,0.0916834170854273
"110",117,"Nissan Micra XV CVT","Coimbatore",2016,39882,"First",19.15,1198,75.94,5,9.51,6.55,0,1,1,0,8,0.37
"111",118,"BMW 5 Series 2010-2013 525i","Mumbai",2009,128000,"First",10.8,2497,215,5,20.9168341708543,7,0,1,1,0,15,0.927788944723618
"112",119,"Maruti Vitara Brezza VDi","Mumbai",2016,55000,"First",24.3,1248,88.5,5,9.96,7.5,1,0,0,1,8,0.3075
"113",121,"Mercedes-Benz B Class B200 CDI","Pune",2014,53753,"Second",15,2143,107.3,5,20.9168341708543,16.75,1,0,1,0,10,0.416683417085427
"114",122,"Hyundai Verna CRDi 1.6 SX Option","Kolkata",2018,10250,"First",22,1582,126.2,5,14.44,10.95,1,0,0,1,6,0.581666666666667
"115",123,"Maruti Wagon R LXI BS IV","Pune",2011,43874,"First",18.9,998,67.1,5,20.9168341708543,2.45,0,1,0,1,13,1.42052570545033
"116",124,"Tata Nano XTA","Coimbatore",2017,32684,"First",21.9,624,37.48,4,20.9168341708543,3.23,0,1,1,0,7,2.52669059583632
"117",125,"Mahindra Scorpio VLX","Kolkata",2014,42000,"First",12.05,2179,120,8,20.9168341708543,7.75,1,0,0,1,10,1.31668341708543
"118",126,"Mercedes-Benz New C-Class 200 K AT","Kolkata",2009,28352,"First",11.7,1796,178,5,20.9168341708543,9.35,0,1,1,0,15,0.771122278056952
"119",128,"Honda CR-V 2.4 MT","Bangalore",2007,47700,"Second",10.8,2354,152,5,20.9168341708543,5.25,0,1,0,1,17,0.921578480638487
"120",129,"Volkswagen Vento 1.5 TDI Comfortline AT","Pune",2015,55000,"First",21.21,1498,103.2,5,20.9168341708543,7.25,1,0,1,0,9,1.51853713009492
"121",130,"Maruti Ciaz VXi Plus","Kochi",2017,44285,"First",20.73,1373,91.1,5,20.9168341708543,7.47,0,1,0,1,7,1.92097631012204
"122",131,"Mahindra XUV500 AT W10 FWD","Jaipur",2016,54000,"First",16,2179,140,7,20.9168341708543,13.25,1,0,1,0,8,0.958354271356784
"123",132,"Maruti Ritz VXI ABS","Coimbatore",2016,30232,"First",21.1,1197,85.8,5,20.9168341708543,5.81,0,1,0,1,8,1.88835427135678
"124",133,"Maruti Alto K10 VXI","Hyderabad",2014,88500,"First",24.07,998,67.1,5,4.53,2.6,0,1,0,1,10,0.193
"125",134,"Mercedes-Benz SLC 43 AMG","Kolkata",2017,13372,"First",19,2996,362.07,2,95.04,54,0,1,1,0,7,5.86285714285714
"126",135,"Hyundai Verna VTVT 1.6 AT SX Plus","Kochi",2019,12645,"First",17,1591,121.3,5,13.49,11.5,0,1,1,0,5,0.398
"127",136,"Maruti Alto LXi BSIII","Chennai",2010,94385,"Second",19.7,796,46.3,5,20.9168341708543,1.6,0,1,0,1,14,1.37977386934673
"128",137,"BMW 1 Series 118d Base","Coimbatore",2015,31821,"First",20.58,1995,143,5,20.9168341708543,17.22,1,0,1,0,9,0.410759352317142
"129",138,"Honda Jazz 1.2 V CVT i VTEC","Mumbai",2015,12000,"First",19,1199,88.7,5,20.9168341708543,6,0,1,1,0,9,1.65742601898381
"130",139,"Honda Civic 2006-2010 1.8 V MT","Delhi",2012,88578,"First",13.5,1799,130,5,20.9168341708543,3.95,0,1,0,1,12,1.41390284757119
"131",140,"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Kochi",2014,44965,"First",19.27,2143,170,5,20.9168341708543,17.95,1,0,1,0,10,0.296683417085427
"132",141,"Honda Amaze SX i-DTEC","Kolkata",2014,45044,"First",25.8,1498,98.6,5,20.9168341708543,3.7,1,0,0,1,10,1.72168341708543
"133",142,"Maruti Swift VVT VXI","Kochi",2016,34204,"First",22,1197,81.8,5,20.9168341708543,5.43,0,1,0,1,8,1.93585427135678
"134",144,"Toyota Fortuner 3.0 Diesel","Coimbatore",2012,91235,"First",11.5,2982,171,7,20.9168341708543,13.49,1,0,0,1,12,0.618902847571189
"135",145,"Chevrolet Beat LT Option","Pune",2014,38800,"First",18.6,1199,76.8,5,20.9168341708543,2.85,0,1,0,1,10,1.80668341708543
"136",146,"Skoda Rapid 1.5 TDI Elegance","Chennai",2013,83000,"First",21.14,1498,103.52,5,20.9168341708543,4.75,1,0,0,1,11,1.46971219735039
"137",147,"Maruti Ciaz 1.4 Alpha","Kochi",2018,41283,"First",20.73,1373,91.1,5,20.9168341708543,9.9,0,1,0,1,6,1.83613902847571
"138",148,"Audi RS5 Coupe","Mumbai",2013,23000,"First",11.05,2894,444,4,20.9168341708543,37,0,1,1,0,11,-1.46210598446779
"139",149,"BMW 3 Series Luxury Line","Mumbai",2014,48000,"First",21.76,1995,190,5,60.88,26.5,1,0,1,0,10,3.438
"140",150,"Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore",2015,48214,"First",17.11,1968,174.33,5,20.9168341708543,23.32,1,0,1,0,9,-0.267018425460636
"141",151,"Maruti Swift VDI","Chennai",2016,35000,"First",22.9,1248,74,5,20.9168341708543,6.25,1,0,0,1,8,1.83335427135678
"142",152,"Mercedes-Benz S Class 2005 2013 S 500","Kolkata",2010,35277,"First",7.81,5461,362.9,5,20.9168341708543,30,0,1,1,0,14,-0.648797559224695
"143",153,"Skoda Rapid 1.5 TDI AT Elegance Plus Black Package","Coimbatore",2016,54620,"First",21.66,1498,103.52,5,20.9168341708543,9.86,1,0,1,0,8,1.38210427135678
"144",154,"Skoda Superb Elegance 2.0 TDI CR AT","Pune",2012,136997,"First",17.2,1968,138.1,5,20.9168341708543,8.5,1,0,1,0,12,1.03473618090452
"145",155,"Hyundai EON Magna Plus","Kochi",2019,14322,"First",21.1,814,55.2,5,20.9168341708543,4.23,0,1,0,1,5,3.33736683417085
"146",156,"Volkswagen Polo Diesel Trendline 1.2L","Jaipur",2012,65634,"First",22.07,1199,73.9,5,20.9168341708543,3.5,1,0,0,1,12,1.45140284757119
"147",157,"Datsun GO NXT","Kolkata",2016,6000,"First",20.63,1198,67.06,5,20.9168341708543,2.5,0,1,0,1,8,2.30210427135678
"148",158,"Honda Brio S MT","Kolkata",2013,33280,"First",19.4,1198,86.8,5,20.9168341708543,2.39,0,1,0,1,11,1.68425765189584
"149",159,"Mercedes-Benz B Class B180","Delhi",2013,29000,"First",14.8,1595,120.7,5,20.9168341708543,11.25,0,1,1,0,11,0.878803106441298
"150",160,"Honda City i DTEC V","Kochi",2015,42831,"First",26,1498,98.6,5,20.9168341708543,7.11,1,0,0,1,9,1.53409268565047
"151",161,"Toyota Innova 2.5 G (Diesel) 7 Seater","Ahmedabad",2016,90000,"First",12.99,2494,100.6,7,20.9168341708543,10.9,1,0,0,1,8,1.25210427135678
"152",162,"Maruti Swift VXI Optional","Ahmedabad",2017,24005,"First",20.4,1197,81.8,5,20.9168341708543,6.2,0,1,0,1,7,2.10240488155061
"153",163,"Mahindra XUV500 W8 2WD","Mumbai",2012,32792,"First",15.1,2179,140,7,20.9168341708543,7.9,1,0,0,1,12,1.08473618090452
"154",164,"Ford Ecosport 1.5 DV5 MT Ambiente","Kochi",2014,147898,"First",22.7,1498,89.84,5,20.9168341708543,4.42,1,0,0,1,10,1.64968341708543
"155",165,"Toyota Fortuner 4x2 Manual","Mumbai",2012,131765,"First",13,2982,168.5,7,20.9168341708543,13.5,1,0,0,1,12,0.618069514237856
"156",166,"Volkswagen Vento 1.5 Highline Plus AT 16 Alloy","Chennai",2013,65000,"First",21.5,1498,108.5,5,20.9168341708543,6.25,1,0,1,0,11,1.33334856098675
"157",167,"Ford Figo Diesel Titanium","Jaipur",2010,66123,"Second",20,1399,68,5,20.9168341708543,2.1,1,0,0,1,14,1.34405958363245
"158",168,"BMW X5 xDrive 30d","Mumbai",2015,41000,"First",15.3,2993,258,5,20.9168341708543,45,1,0,1,0,9,-2.67590731434953
"159",169,"Mercedes-Benz New C-Class C 220 CDI Style","Coimbatore",2017,23550,"First",19.27,2143,167.62,5,20.9168341708543,33.66,1,0,1,0,7,-1.82045226130653
"160",170,"Honda Brio V MT","Bangalore",2012,45000,"Second",19.4,1198,86.8,5,20.9168341708543,3.65,0,1,0,1,12,1.43890284757119
"161",171,"Hyundai i10 Magna 1.2","Delhi",2013,60000,"First",20.36,1197,78.9,5,20.9168341708543,2.75,0,1,0,1,11,1.65153037916857
"162",172,"Mercedes-Benz GLC 220","Bangalore",2016,44414,"First",17.9,2143,170,5,20.9168341708543,42.5,1,0,1,0,8,-2.69789572864322
"163",173,"Hyundai Grand i10 1.2 Kappa Asta","Kolkata",2019,1000,"First",18.9,1197,81.86,5,7.39,6.5,0,1,0,1,5,0.178
"164",174,"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2012,62500,"Second",17.68,1968,174.33,5,20.9168341708543,19,1,0,1,0,12,0.159736180904523
"165",175,"Volkswagen Vento Petrol Highline AT","Mumbai",2013,21000,"Second",14.4,1598,103.6,5,20.9168341708543,4.45,0,1,1,0,11,1.49698492462312
"166",176,"Mini Countryman Cooper D","Jaipur",2017,8525,"Second",16.6,1998,112,5,20.9168341708543,23,1,0,1,0,7,-0.29759511844939
"167",177,"Hyundai i20 Asta 1.4 CRDi","Bangalore",2014,29000,"First",22.54,1396,88.73,5,20.9168341708543,8.35,1,0,0,1,10,1.25668341708543
"168",178,"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2014,40000,"First",17.68,1968,174.33,5,20.9168341708543,22.95,1,0,1,0,10,-0.203316582914573
"169",179,"Chevrolet Beat Diesel LT","Jaipur",2012,88000,"First",25.44,936,57.6,5,20.9168341708543,1.5,1,0,0,1,12,1.61806951423786
"170",180,"Skoda Superb Elegance 1.8 TSI AT","Kochi",2012,53537,"First",13.7,1798,157.75,5,20.9168341708543,6.89,0,1,1,0,12,1.16890284757119
"171",181,"Ford Fiesta 1.4 TDCi EXI Limited Edition","Chennai",2006,216000,"Second",17.8,1399,68,5,20.9168341708543,1.45,1,0,0,1,18,1.08149078726968
"172",182,"BMW 5 Series 520d Luxury Line","Hyderabad",2014,51000,"First",22.48,1995,190,5,69.47,33.5,1,0,1,0,10,3.597
